INFO [2025-07-26 15:12:07,916] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:12:08,806] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:14:09,413] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:14:18,778] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:14:29,188] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:14:57,649] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:17:13,982] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:17:14,956] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:24:52,577] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:33:53,701] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:34:10,604] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:35:43,165] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:35:48,031] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:35:49,029] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:46:54,822] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:46:55,777] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:48:45,306] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: c:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:50:06,906] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:50:07,688] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
INFO [2025-07-26 15:52:51,864] [logger.init:101]: Logger baþlatýldý - Seviye: DEBUG, Dosya: C:\wamp64\www\PofuAi\storage\logs\app_2025-07-26.log
